Strategy,Method,KNN,Mean AMCA,Architecture,Forgetting,Forgetting (0-10)
Naive,Naive-Original,50,0.96,Residual,0.0021459096459095,5.11
EWC,EWC-APE,15,0.935,MLP,0.0208333333333333,6.04
EWC,EWC-APE,20,0.936,MLP,0.016025641025641,5.8
EWC,EWC-APE,25,0.934,MLP,0.0127594627594627,5.64
EWC,EWC-APE,30,0.936,MLP,0.0150579975579975,5.75
EWC,EWC-APE,50,0.939,MLP,0.0016025641025641,5.08
EWC,EWC-Original,15,0.927,MLP,-0.0150274725274725,4.25
EWC,EWC-Original,20,0.931,MLP,-0.0201678876678876,3.99
EWC,EWC-Original,25,0.931,MLP,-0.01759768009768,4.12
EWC,EWC-Original,30,0.931,MLP,-0.0217704517704517,3.91
EWC,EWC-Original,50,0.93,MLP,-0.0166605616605616,4.17
GEM,GEM-APE,15,0.952,MLP,0.0073473748473748,5.37
GEM,GEM-APE,20,0.952,MLP,0.0095848595848595,5.48
GEM,GEM-APE,25,0.953,MLP,0.0115201465201464,5.58
GEM,GEM-APE,30,0.951,MLP,0.0105525030525029,5.53
GEM,GEM-APE,50,0.952,MLP,0.0095848595848595,5.48
GEM,GEM-Original,15,0.94,MLP,-0.0061691086691086,4.69
GEM,GEM-Original,20,0.94,MLP,-0.0023290598290598,4.88
GEM,GEM-Original,25,0.94,MLP,-0.0042338217338216,4.79
GEM,GEM-Original,30,0.939,MLP,0.0024481074481074,5.12
GEM,GEM-Original,50,0.942,MLP,-0.0096153846153845,4.52
LwF,LwF-APE,15,0.941,MLP,0.0022374847374847,5.11
LwF,LwF-APE,20,0.941,MLP,0.0022374847374847,5.11
LwF,LwF-APE,25,0.944,MLP,0.0009676434676434,5.05
LwF,LwF-APE,30,0.943,MLP,-0.0009371184371184,4.95
LwF,LwF-APE,50,0.941,MLP,-0.0009371184371184,4.95
LwF,LwF-Original,15,0.94,MLP,-0.0048076923076922,4.76
LwF,LwF-Original,20,0.94,MLP,-0.0096153846153845,4.52
LwF,LwF-Original,25,0.937,MLP,-0.0003021978021977,4.98
LwF,LwF-Original,30,0.937,MLP,0.0064102564102564,5.32
LwF,LwF-Original,50,0.936,MLP,0.007045177045177,5.35
Naive,Naive-APE,15,0.935,MLP,-0.0006654456654456,4.97
Naive,Naive-APE,20,0.934,MLP,0.0121855921855921,5.61
Naive,Naive-APE,25,0.935,MLP,0.010583028083028,5.53
Naive,Naive-APE,30,0.935,MLP,0.0089804639804639,5.45
Naive,Naive-APE,50,0.937,MLP,0.0118528693528693,5.59
Naive,Naive-Original,15,0.927,MLP,-0.0150274725274725,4.25
Naive,Naive-Original,20,0.927,MLP,-0.0118528693528693,4.41
Naive,Naive-Original,25,0.926,MLP,-0.0108547008547009,4.46
Naive,Naive-Original,30,0.926,MLP,-0.003507326007326,4.82
Naive,Naive-Original,50,0.926,MLP,-0.0064102564102564,4.68
